"name","Origin","Year","Total"
"Finland","Afghanistan",2004,164
"France","Afghanistan",2004,164
"Germany","Afghanistan",2004,912
"Greece","Afghanistan",2004,382
"Hungary","Afghanistan",2004,38
"Iceland","Afghanistan",2004,2
"Ireland","Afghanistan",2004,106
"Lithuania","Afghanistan",2004,8
"Luxembourg","Afghanistan",2004,6
"Netherlands","Afghanistan",2004,689
"Norway","Afghanistan",2004,1059
"Poland","Afghanistan",2004,57
"South Korea","Afghanistan",2004,1
"Romania","Afghanistan",2004,1
"Slovakia","Afghanistan",2004,396
"Slovenia","Afghanistan",2004,4
"Spain","Afghanistan",2004,14
"Sweden","Afghanistan",2004,903
"Switzerland","Afghanistan",2004,206
"Turkey","Afghanistan",2004,353
"United Kingdom","Afghanistan",2004,1605
"United States","Afghanistan",2004,39
"Australia","Afghanistan",2005,29
"Austria","Afghanistan",2005,928
"Belgium","Afghanistan",2005,253
"Bulgaria","Afghanistan",2005,385
"Canada","Afghanistan",2005,238
"Cyprus","Afghanistan",2005,53
"Czech Republic","Afghanistan",2005,2
"Denmark","Afghanistan",2005,173
"Finland","Afghanistan",2005,237
"France","Afghanistan",2005,135
"Germany","Afghanistan",2005,685
"Greece","Afghanistan",2005,458
"Hungary","Afghanistan",2005,23
"Iceland","Afghanistan",2005,6
"Ireland","Afghanistan",2005,142
"Japan","Afghanistan",2005,2
"Liechtenstein","Afghanistan",2005,1
"Lithuania","Afghanistan",2005,2
"Luxembourg","Afghanistan",2005,3
"Malta","Afghanistan",2005,1
"Netherlands","Afghanistan",2005,902
"New Zealand","Afghanistan",2005,1
"Norway","Afghanistan",2005,466
"Poland","Afghanistan",2005,3
"Slovakia","Afghanistan",2005,109
"Slovenia","Afghanistan",2005,4
"Spain","Afghanistan",2005,10
"Sweden","Afghanistan",2005,435
"Switzerland","Afghanistan",2005,241
"Turkey","Afghanistan",2005,359
"United Kingdom","Afghanistan",2005,1773
"United States","Afghanistan",2005,47
"Australia","Afghanistan",2006,22
"Austria","Afghanistan",2006,699
"Belgium","Afghanistan",2006,365
"Bulgaria","Afghanistan",2006,277
"Canada","Afghanistan",2006,229
"Cyprus","Afghanistan",2006,9
"Czech Republic","Afghanistan",2006,1
"Denmark","Afghanistan",2006,122
"Finland","Afghanistan",2006,96
"France","Afghanistan",2006,82
"Germany","Afghanistan",2006,525
"Greece","Afghanistan",2006,1087
"Hungary","Afghanistan",2006,13
"Iceland","Afghanistan",2006,2
"Ireland","Afghanistan",2006,88
"Japan","Afghanistan",2006,3
"Latvia","Afghanistan",2006,1
"Lithuania","Afghanistan",2006,2
"Luxembourg","Afghanistan",2006,8
"Netherlands","Afghanistan",2006,932
"Norway","Afghanistan",2006,224
